Sample	Group
NIHAD1	1
NIHAD10	1
NIHAD11	2
NIHAD14	1
NIHAD15	1
NIHAD18	1
NIHAD20	1
NIHAD21	2
NIHAD25	2
NIHAD28	2
NIHAD29	2
NIHAD30	2
NIHAD31	2
NIHAD32	2
NIHAD35	2
NIHAD36	2
NIHAD37	2
NIHAD38	2
NIHAD4	1
NIHAD40	2
NIHAD44	2
NIHAD45	2
NIHAD47	2
NIHAD48	2
NIHAD49	2
NIHAD50	2
NIHAD51	1
NIHAD52	1
NIHAD53	2
NIHAD58	1
NIHAD61	1
NIHAD62	1
NIHAD63	1
NIHAD64	2
NIHAD66	1
NIHAD67	1
NIHAD68	1
NIHAD69	1
NIHAD70	2
NIHAD71	2
NIHAD73	2
NIHAD74	2
NIHAD75	2
NIHAD77	1
NIHAD8	1
NIHAD80	2
NIHAD81	1
NIHAD82	2
NIHAD83	2
NIHAD85	2
NIHAD87	2
NIHAD88	2
NIHAD9	1
