A549AMG0.1rep1.htseq	A549AMG0.1rep2.htseq	A549AMG0.1rep3.htseq	A549AMG0.1rep4.htseq	A549DMSOrep1.htseq	A549DMSOrep2.htseq	A549DMSOrep3.htseq	A549DMSOrep4.htseq
A1BG	98	129	190	179	42	51	73	71
A1BG-AS1	5	19	10	9	1	5	21	8
A1CF	9	13	20	28	8	14	21	28
A2M	0	0	0	0	0	0	0	0
A2M-AS1	4	9	11	9	0	4	6	3
A2ML1	1	0	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	2	0	0	0	0
A4GALT	242	350	496	472	64	92	131	193
A4GNT	0	0	0	0	0	1	1	0
AA06	0	0	0	0	0	0	0	0
AAAS	752	1107	1281	1120	354	1011	1237	1589
AACS	730	864	1214	1072	217	595	811	1034
AACSP1	1	0	2	1	0	6	5	6
AADAC	16	20	55	23	12	24	32	34
AADACL2	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0
AADACL4	0	0	1	0	0	0	0	0
AADACP1	4	0	3	6	1	1	2	1
AADAT	85	99	93	84	42	96	118	147
AAED1	118	109	163	97	34	93	150	183
AAGAB	450	569	780	548	299	714	712	982
AAK1	418	543	633	529	140	337	483	552
AAMDC	134	166	216	193	40	80	104	151
AAMP	1298	1832	2286	2152	620	1460	1643	2207
AANAT	12	9	6	7	2	0	6	4
AAR2	692	874	1232	957	244	914	1058	1378
AARD	0	0	0	0	0	0	1	2
AARS	4884	6477	7896	6601	2105	5920	7301	9386
AARS2	216	384	446	344	108	316	339	509
AARSD1	29	44	76	54	8	45	56	79
AASDH	11	14	19	6	2	10	7	17
AASDHPPT	31	93	85	73	78	65	105	116
AASS	0	2	9	2	1	0	1	2
AATBC	3	6	4	7	2	3	6	1
AATF	2527	3346	4045	3520	1245	2864	3567	4411
AATK	22	21	41	39	9	8	5	11
AATK-AS1	0	0	1	1	0	2	0	0
ABALON	76	113	153	170	32	59	71	103
ABAT	37	60	59	43	7	25	18	17
ABCA1	182	300	378	273	44	102	116	154
ABCA10	3	0	8	6	0	0	5	4
ABCA11P	35	43	47	39	8	43	44	39
ABCA12	33	60	91	43	12	19	17	32
ABCA13	1	1	1	1	0	0	1	0
ABCA17P	3	1	2	2	2	0	4	0
ABCA2	535	884	1143	1104	224	388	517	714
ABCA3	1032	1496	2001	1870	356	851	1136	1301
ABCA4	11	8	3	5	0	3	1	10
ABCA5	25	31	37	23	1	19	10	10
ABCA6	0	0	0	0	0	0	0	1
ABCA7	312	484	634	584	75	155	203	300
ABCA8	9	16	16	16	0	8	5	3
ABCA9	5	7	0	1	0	0	0	1
