"SUID","A549_deg","cis_reg","Key_regulator","name","selected","shared name","Signature","Size","SKLU1_deg"
"4337","","","","GFPT2","false","GFPT2","INV","1",""
"5361","","CNV","I_key","PLOD2","false","PLOD2","INV","4",""
"5106","","","","KIF26B","false","KIF26B","INV","1",""
"4338","","","","SEMA6B","false","SEMA6B","INV","1",""
"2807","","","","SEMA4B","false","SEMA4B","INV","1",""
"5883","","","","MXRA5","false","MXRA5","INV","3",""
"2813","","","","CILP2","false","CILP2","INV","1",""
"6924","","CNV","","TMSB10","false","TMSB10","INV","7","SKLU1_up"
"5392","","","","CILP","false","CILP","INV","0",""
"1553","","","","ERO1L","false","ERO1L","INV","0",""
"7700","","","","FNDC1","false","FNDC1","INV","0",""
"7702","","","","VCAN","false","VCAN","INV","3",""
"7705","","","","PGF","false","PGF","INV","0",""
"4635","","","","CD248","false","CD248","INV","0",""
"4125","","","","FHL2","false","FHL2","INV","1","SKLU1_dn"
"294","","","","FAP","false","FAP","INV","6",""
"1844","","","","C11orf24","false","C11orf24","INV","2","SKLU1_dn"
"5691","","","","CDC42EP2","false","CDC42EP2","INV","0",""
"5692","","","","PLAUR","false","PLAUR","INV","0","SKLU1_dn"
"5693","","","","PXDN","false","PXDN","INV","2",""
"321","","CNV","","GAPDH","false","GAPDH","INV","4",""
"5444","","","","RARRES1","false","RARRES1","INV","0",""
"4951","","","","VDR","false","VDR","INV","1",""
"3170","","","","MMP14","false","MMP14","INV","9","SKLU1_dn"
"5991","","","","NCRNA00152","false","NCRNA00152","INV","1",""
"4466","","","","LDHA","false","LDHA","INV","3","SKLU1_dn"
"3187","","","","CTSK","false","CTSK","INV","1",""
"3188","","","I_key","ISLR","false","ISLR","INV","5",""
"2936","","","I_key","COL11A1","false","COL11A1","INV","5",""
"2937","","","","CERCAM","false","CERCAM","INV","0",""
"6777","","","","GALNT14","false","GALNT14","INV","0","SKLU1_dn"
"2938","","","","GREM1","false","GREM1","INV","4",""
"2939","","","","HTRA3","false","HTRA3","INV","2",""
"2940","","","","IGFBP3","false","IGFBP3","INV","0","SKLU1_dn"
"2941","","","","LRRC15","false","LRRC15","INV","2",""
"2948","","","","COL18A1","false","COL18A1","INV","1",""
"7813","","","","SNCG","false","SNCG","INV","0",""
"4230","","","","FSCN1","false","FSCN1","INV","1",""
"2951","","","","RCN3","false","RCN3","INV","0",""
"2953","","","I_key","COL1A2","false","COL1A2","INV","6",""
"3722","","","","C1QTNF1","false","C1QTNF1","INV","0",""
"2954","","","","SFRP2","false","SFRP2","INV","1",""
"2955","","","","SNAI2","false","SNAI2","INV","0",""
"2956","","","","SPARC","false","SPARC","INV","3",""
"2957","","","","THY1","false","THY1","INV","6",""
"2959","","","","COL3A1","false","COL3A1","INV","2",""
"6544","","","","EGLN3","false","EGLN3","INV","0",""
"2961","","","","COL4A1","false","COL4A1","INV","3","SKLU1_dn"
"658","","","","SEMA3F","false","SEMA3F","INV","0",""
"2962","","","","COL4A2","false","COL4A2","INV","3","SKLU1_dn"
"2963","","","","MCAM","false","MCAM","INV","3",""
"2964","","","","NOTCH3","false","NOTCH3","INV","1",""
"664","","","","SERPINF1","false","SERPINF1","INV","1",""
"3737","","","","LGALS1","false","LGALS1","INV","3","SKLU1_up"
"7583","","","","TMEM45A","false","TMEM45A","INV","0",""
"2976","","","","COL5A1","false","COL5A1","INV","3",""
"2977","","","","COL6A2","false","COL6A2","INV","10",""
"2978","","","","COL6A3","false","COL6A3","INV","9",""
"2979","","","","LOXL2","false","LOXL2","INV","3","SKLU1_dn"
"7843","","CNV","","FKBP4","false","FKBP4","INV","0",""
"2980","","","","POSTN","false","POSTN","INV","2",""
"1188","","","","ANGPT2","false","ANGPT2","INV","3",""
"1189","","","","ESM1","false","ESM1","INV","2",""
"2981","","","","SH3PXD2B","false","SH3PXD2B","INV","2",""
"2982","","","","THBS2","false","THBS2","INV","12",""
"1191","","","","STC1","false","STC1","INV","0",""
"2983","","","","COL5A3","false","COL5A3","INV","3",""
"2984","","","","NID2","false","NID2","INV","4",""
"2985","","","","OLFML2B","false","OLFML2B","INV","1",""
"4523","","","","AVEN","false","AVEN","INV","0",""
"4011","","","","GJB2","false","GJB2","INV","0",""
"2988","","","","COL6A1","false","COL6A1","INV","0",""
"4524","","","","MMP1","false","MMP1","INV","0",""
"2989","","","","CPXM1","false","CPXM1","INV","0",""
"4526","","","","SPHK1","false","SPHK1","INV","3",""
"2994","","","","EMILIN1","false","EMILIN1","INV","6",""
"946","","","","ADAM12","false","ADAM12","INV","8",""
"947","","","I_key","CTHRC1","false","CTHRC1","INV","4",""
"7603","","","","PDLIM4","false","PDLIM4","INV","0",""
"948","","","","GPC6","false","GPC6","INV","1",""
"949","","","","SLC12A8","false","SLC12A8","INV","1",""
"950","","","","SULF1","false","SULF1","INV","1",""
"952","","","","WISP1","false","WISP1","INV","3",""
"1721","","","","PCOLCE","false","PCOLCE","INV","3",""
"5566","","","","MDFI","false","MDFI","INV","1",""
"2496","A549_up","","","SULF2","false","SULF2","INV","6",""
"4288","","CNV","","TPI1","false","TPI1","INV","3",""
"960","","","","SEMA7A","false","SEMA7A","INV","3","SKLU1_dn"
