GeneName	EntrezID	Inv_mean	Non_mean	Difference	p-value	q-value
KIAA0408	9729	0.575915460675042	2.18832694694674	-1.61241148627169	3.90905608359232e-16	7.21494481348634e-12
FAM184A	79632	1.41650431387207	2.82903103470745	-1.41252672083538	2.40298897074797e-14	2.21759837165476e-10
VEPH1	79674	1.92390081646835	3.95011866326002	-2.02621784679167	6.5077396102204e-14	4.00377833286127e-10
LOC723809	NA	0.662044432899494	2.58077253566252	-1.91872810276303	1.03280308348871e-13	4.76561162798776e-10
SLC41A1	254428	3.1157783304507	4.20442698732345	-1.08864865687275	8.67526503998423e-13	3.20238733685978e-09
USP44	84101	0.778365764021466	1.99072315567302	-1.21235739165155	2.34184840548912e-12	7.20391600335211e-09
ACOXL	55289	1.13343204341445	2.58493527667337	-1.45150323325891	7.1414745922079e-12	1.88300280783402e-08
SNX30	401548	3.27293521555383	4.65649843280551	-1.38356321725168	1.23510465111805e-11	2.84954081821074e-08
HSD17B6	8630	2.95955974870413	5.74409740560177	-2.78453765689764	3.98342926873434e-11	7.75362237651293e-08
TK1	7083	4.67503646666657	2.86500416238235	1.81003230428422	4.43881230105607e-11	7.75362237651293e-08
TUBB3	10381	5.1742486763085	2.52391742160107	2.65033125470744	5.16695352203992e-11	7.94720509635756e-08
TNFSF15	9966	1.89277815300273	3.37414452679287	-1.48136637379014	6.2772664529301e-11	8.75564871444394e-08
B3GALT2	8707	0.527696047854565	1.47723589450546	-0.94953984665089	6.64133293613346e-11	8.75564871444394e-08
ROBO2	6092	0.791272605929642	2.17981610930409	-1.38854350337445	7.61159382893925e-11	8.78044920629574e-08
CD302	9936	3.95579083794139	5.46854857861391	-1.51275774067252	7.16004965747471e-11	8.78044920629574e-08
TAPT1	202018	2.90170306870242	3.89698355666153	-0.99528048795911	9.85333318507281e-11	1.0697821799817e-07
ATP13A4	84239	2.31059737045713	4.32935395801176	-2.01875658755462	1.16086117053537e-10	1.13807788224293e-07
