"SUID","A549_deg","cis_reg","Key_regulator","name","selected","shared name","Signature","Size","SKLU1_deg"
"495","","","","NCAPH","false","NCAPH","INV","6","SKLU1_dn"
"5104","","","","KIF23","false","KIF23","INV","5","SKLU1_dn"
"5109","A549_dn","","","KIF2C","false","KIF2C","INV","9",""
"5111","","","","MELK","false","MELK","INV","8",""
"5113","A549_dn","","","MYBL2","false","MYBL2","INV","4",""
"5882","","","","MXD3","false","MXD3","INV","1",""
"5117","","","","KIF4A","false","KIF4A","INV","14",""
"5118","","","","KIF20A","false","KIF20A","INV","0",""
"5119","","","","MCM6","false","MCM6","INV","4","SKLU1_dn"
"5120","A549_dn","","","NCAPG","false","NCAPG","INV","5","SKLU1_up"
"5121","A549_dn","","","PLK1","false","PLK1","INV","5",""
"5123","A549_dn","CNV","","TOP2A","false","TOP2A","INV","3","SKLU1_up"
"4358","","CNV","","GINS1","false","GINS1","INV","8",""
"4361","","","","KIFC1","false","KIFC1","INV","3","SKLU1_dn"
"2836","A549_dn","","","PTTG1","false","PTTG1","INV","1",""
"2070","","CNV","","C20orf24","false","C20orf24","INV","2",""
"1816","","","","BUB1B","false","BUB1B","INV","3",""
"2072","","","","SNRPA1","false","SNRPA1","INV","1",""
"2586","A549_dn","","","CDC20","false","CDC20","INV","10",""
"4122","A549_dn","","","H2AFX","false","H2AFX","INV","3",""
"2587","","CNV","","CDCA4","false","CDCA4","INV","2",""
"1819","","","","BUB1","false","BUB1","INV","5","SKLU1_dn"
"2588","A549_dn","","","DTYMK","false","DTYMK","INV","3",""
"2589","","","","POC1A","false","POC1A","INV","1",""
"2591","","","","TUBA1C","false","TUBA1C","INV","0","SKLU1_up"
"2592","A549_dn","","","UBE2C","false","UBE2C","INV","4",""
"545","A549_dn","","","PHF19","false","PHF19","INV","0",""
"2593","A549_dn","","","UBE2S","false","UBE2S","INV","8",""
"5165","","","","KPNA2","false","KPNA2","INV","9","SKLU1_dn"
"2606","","","I_key","DTL","false","DTL","INV","2","SKLU1_dn"
"7983","","CNV","","MCM3","false","MCM3","INV","0","SKLU1_dn"
"2610","A549_dn","","","CDCA5","false","CDCA5","INV","10",""
"2611","A549_dn","","I_key","CDT1","false","CDT1","INV","3",""
"4660","","","","HJURP","false","HJURP","INV","8",""
"2612","","","","CHEK1","false","CHEK1","INV","2",""
"2614","A549_dn","","","FEN1","false","FEN1","INV","1",""
"4662","","CNV","","NDC80","false","NDC80","INV","2",""
"2616","A549_dn","CNV","","MCM7","false","MCM7","INV","0",""
"2617","","","","MLF1IP","false","MLF1IP","INV","0",""
"2619","A549_dn","CNV","","RECQL4","false","RECQL4","INV","7",""
"2620","","CNV","","RFC4","false","RFC4","INV","5",""
"2621","","","","CDCA8","false","CDCA8","INV","2","SKLU1_dn"
"2623","","CNV","","TRIP13","false","TRIP13","INV","0",""
"6210","","CNV","","NUDT1","false","NUDT1","INV","4",""
"4930","","CNV","","IQGAP3","false","IQGAP3","INV","1","SKLU1_dn"
"580","","","","PRC1","false","PRC1","INV","2",""
"2628","","","","CDH24","false","CDH24","INV","2",""
"1608","A549_dn","","I_key","AURKB","false","AURKB","INV","4",""
"1609","","","","CCNB2","false","CCNB2","INV","3",""
"1355","","","","ARHGAP11A","false","ARHGAP11A","INV","5","SKLU1_up"
"1356","","","","CCNB1","false","CCNB1","INV","4",""
"1612","","","","NUF2","false","NUF2","INV","7",""
"6220","","","","AURKA","false","AURKA","INV","0",""
"1357","","CNV","","ECT2","false","ECT2","INV","6",""
"6222","","","","GGH","false","GGH","INV","0",""
"6223","","","","UBE2T","false","UBE2T","INV","1",""
"5977","","","","PFKP","false","PFKP","INV","0","SKLU1_dn"
"6490","A549_dn","","","PKMYT1","false","PKMYT1","INV","7","SKLU1_dn"
"6491","A549_dn","CNV","","EIF4EBP1","false","EIF4EBP1","INV","0",""
"6492","A549_dn","CNV","I_key","TK1","false","TK1","INV","3",""
"2653","","","","CDK1","false","CDK1","INV","2",""
"2655","","","","ZWINT","false","ZWINT","INV","1","SKLU1_dn"
"4707","","","I_key","HMMR","false","HMMR","INV","3",""
"3432","","","","DLGAP5","false","DLGAP5","INV","6",""
"3433","","","","FAM83D","false","FAM83D","INV","0","SKLU1_dn"
"3434","","","","NEK2","false","NEK2","INV","6",""
"4203","","CNV","","FOXM1","false","FOXM1","INV","2",""
"3435","","","","SGOL2","false","SGOL2","INV","3",""
"5999","","CNV","","RAD51AP1","false","RAD51AP1","INV","1",""
"6000","","CNV","","TYMS","false","TYMS","INV","0","SKLU1_dn"
"632","","","","RRM2","false","RRM2","INV","3","SKLU1_dn"
"2428","","","","CCNA2","false","CCNA2","INV","5",""
"2429","","","","ELOVL6","false","ELOVL6","INV","2",""
"2430","","","","MAD2L1","false","MAD2L1","INV","4",""
"2435","A549_dn","CNV","","RAN","false","RAN","INV","7",""
"2437","","","","KIAA0101","false","KIAA0101","INV","0",""
"3462","A549_dn","CNV","","DNAJC9","false","DNAJC9","INV","1",""
"6537","A549_dn","","","TACC3","false","TACC3","INV","1",""
"2700","A549_dn","","","GINS2","false","GINS2","INV","0","SKLU1_dn"
"2444","","","","CCNF","false","CCNF","INV","1",""
"2713","","","","CENPE","false","CENPE","INV","3",""
"2203","","","","C9orf140","false","C9orf140","INV","1",""
"2715","A549_dn","","","CENPF","false","CENPF","INV","5",""
"5792","A549_dn","CNV","","TOMM40","false","TOMM40","INV","2",""
"4772","","","","HTATIP2","false","HTATIP2","INV","3",""
"676","","","","SHCBP1","false","SHCBP1","INV","1",""
"4005","","CNV","","FANCG","false","FANCG","INV","1",""
"4007","","","","FANCI","false","FANCI","INV","5",""
"4008","","CNV","","NCAPG2","false","NCAPG2","INV","3","SKLU1_dn"
"2730","","","","CEP55","false","CEP55","INV","2",""
"7851","A549_dn","","I_key","TPX2","false","TPX2","INV","10",""
"5294","A549_dn","","","LMNB1","false","LMNB1","INV","2",""
